city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Saint-Jean-de-Védas,43.5764,3.8239,France,FR,Occitanie,,10452,10452
Urrugne,43.3622,-1.7000,France,FR,Nouvelle-Aquitaine,,10432,10432
Gaillard,46.1850,6.2075,France,FR,Auvergne-Rhône-Alpes,,10419,10419
Sainte-Savine,48.2947,4.0489,France,FR,Grand Est,,10409,10409
Pélissanne,43.6314,5.1506,France,FR,Provence-Alpes-Côte d’Azur,,10404,10404
Ormesson-sur-Marne,48.7858,2.5383,France,FR,Île-de-France,,10403,10403
Auchel,50.5083,2.4736,France,FR,Hauts-de-France,,10399,10399
Mios,44.6050,-0.9369,France,FR,Nouvelle-Aquitaine,,10398,10398
Pont-Saint-Esprit,44.2564,4.6483,France,FR,Occitanie,,10397,10397
La Londe-les-Maures,43.1381,6.2344,France,FR,Provence-Alpes-Côte d’Azur,,10389,10389
Vieux-Condé,50.4594,3.5683,France,FR,Hauts-de-France,,10374,10374
Argelès-sur-Mer,42.5461,3.0239,France,FR,Occitanie,,10366,10366
Fondettes,47.4042,0.5989,France,FR,Centre-Val de Loire,,10357,10357
Marquette-lès-Lille,50.6758,3.0661,France,FR,Hauts-de-France,,10354,10354
Chanteloup-les-Vignes,48.9783,2.0308,France,FR,Île-de-France,,10341,10341
Wittelsheim,47.8053,7.2375,France,FR,Grand Est,,10341,10341
La Riche,47.3892,0.6606,France,FR,Centre-Val de Loire,,10331,10331
Montigny-en-Gohelle,50.4278,2.9297,France,FR,Hauts-de-France,,10315,10315
Gerzat,45.8258,3.1447,France,FR,Auvergne-Rhône-Alpes,,10315,10315
Douchy-les-Mines,50.3014,3.3933,France,FR,Hauts-de-France,,10311,10311
Le Pradet,43.1056,6.0233,France,FR,Provence-Alpes-Côte d’Azur,,10265,10265
Thouaré-sur-Loire,47.2675,-1.4406,France,FR,Pays de la Loire,,10261,10261
Avranches,48.6844,-1.3569,France,FR,Normandie,minor,10246,10246
Cabestany,42.6806,2.9428,France,FR,Occitanie,,10235,10235
Parthenay,46.6486,-0.2469,France,FR,Nouvelle-Aquitaine,minor,10235,10235
Neuville-en-Ferrain,50.7467,3.1581,France,FR,Hauts-de-France,,10231,10231
Jeumont,50.2944,4.1014,France,FR,Hauts-de-France,,10229,10229
La Chapelle-Saint-Mesmin,47.8897,1.8397,France,FR,Centre-Val de Loire,,10205,10205
Dammartin-en-Goële,49.0542,2.6814,France,FR,Île-de-France,,10196,10196
Clermont,49.3789,2.4125,France,FR,Hauts-de-France,minor,10183,10183
Villeneuve-lès-Maguelone,43.5322,3.8608,France,FR,Occitanie,,10178,10178
Chambly,49.1667,2.2481,France,FR,Hauts-de-France,,10174,10174
Marly,49.0611,6.1497,France,FR,Grand Est,,10160,10160
Saint-Laurent-de-la-Salanque,42.7736,2.9908,France,FR,Occitanie,,10158,10158
Fuveau,43.4522,5.5617,France,FR,Provence-Alpes-Côte d’Azur,,10157,10157
Caudebec-lès-Elbeuf,49.2808,1.0211,France,FR,Normandie,,10156,10156
Tinqueux,49.2500,3.9908,France,FR,Grand Est,,10154,10154
Dinard,48.6325,-2.0617,France,FR,Bretagne,,10148,10148
Aniche,50.3300,3.2511,France,FR,Hauts-de-France,,10146,10146
Châteaugiron,48.0481,-1.5031,France,FR,Bretagne,,10125,10125
Pont-Audemer,49.3542,0.5139,France,FR,Normandie,,10120,10120
Le Taillan-Médoc,44.9044,-0.6697,France,FR,Nouvelle-Aquitaine,,10118,10118
Limoux,43.0569,2.2186,France,FR,Occitanie,minor,10112,10112
Vernouillet,48.9722,1.9833,France,FR,Île-de-France,,10077,10077
Miribel,45.8244,4.9531,France,FR,Auvergne-Rhône-Alpes,,10043,10043
Buxerolles,46.5975,0.3492,France,FR,Nouvelle-Aquitaine,,10042,10042
Mazamet,43.4917,2.3733,France,FR,Occitanie,,10033,10033
Bourg-de-Péage,45.0378,5.0500,France,FR,Auvergne-Rhône-Alpes,,10007,10007
Saint-Gély-du-Fesc,43.6922,3.8061,France,FR,Occitanie,,9996,9996
Villeneuve-Tolosane,43.5236,1.3417,France,FR,Occitanie,,9987,9987
La Trinité,43.7408,7.3142,France,FR,Provence-Alpes-Côte d’Azur,,9985,9985
Saint-Max,48.7011,6.2067,France,FR,Grand Est,,9984,9984
Pernes-les-Fontaines,43.9978,5.0592,France,FR,Provence-Alpes-Côte d’Azur,,9975,9975
Brumath,48.7319,7.7083,France,FR,Grand Est,,9970,9970
Bondues,50.7017,3.0933,France,FR,Hauts-de-France,,9961,9961
Bernay,49.0886,0.5983,France,FR,Normandie,minor,9951,9951
Eybens,45.1486,5.7503,France,FR,Auvergne-Rhône-Alpes,,9947,9947
Mouans-Sartoux,43.6200,6.9719,France,FR,Provence-Alpes-Côte d’Azur,,9911,9911
Lillers,50.5636,2.4819,France,FR,Hauts-de-France,,9910,9910
Méry-sur-Oise,49.0636,2.1864,France,FR,Île-de-France,,9900,9900
Ferney-Voltaire,46.2558,6.1081,France,FR,Auvergne-Rhône-Alpes,,9895,9895
Mondeville,49.1739,-0.3211,France,FR,Normandie,,9893,9893
Feyzin,45.6728,4.8589,France,FR,Auvergne-Rhône-Alpes,,9879,9879
Blain,47.4761,-1.7636,France,FR,Pays de la Loire,,9873,9873
Auterive,43.3503,1.4747,France,FR,Occitanie,,9869,9869
Oignies,50.4692,2.9936,France,FR,Hauts-de-France,,9841,9841
Cabriès,43.4411,5.3797,France,FR,Provence-Alpes-Côte d’Azur,,9834,9834
Rombas,49.2494,6.0947,France,FR,Grand Est,,9833,9833
Saint-Rémy-de-Provence,43.7894,4.8317,France,FR,Provence-Alpes-Côte d’Azur,,9829,9829
Villerupt,49.4697,5.9286,France,FR,Grand Est,,9827,9827
Roche-la-Molière,45.4339,4.3236,France,FR,Auvergne-Rhône-Alpes,,9825,9825
Albert,50.0019,2.6522,France,FR,Hauts-de-France,,9810,9810
Lambesc,43.6539,5.2619,France,FR,Provence-Alpes-Côte d’Azur,,9799,9799
Portet-sur-Garonne,43.5219,1.4061,France,FR,Occitanie,,9791,9791
Le Beausset,43.1983,5.8028,France,FR,Provence-Alpes-Côte d’Azur,,9790,9790
Divonne-les-Bains,46.3567,6.1428,France,FR,Auvergne-Rhône-Alpes,,9787,9787
Ploërmel,47.9317,-2.3975,France,FR,Bretagne,,9787,9787
Figeac,44.6086,2.0317,France,FR,Occitanie,minor,9778,9778
Darnétal,49.4447,1.1511,France,FR,Normandie,,9773,9773
Aire-sur-la-Lys,50.6386,2.3967,France,FR,Hauts-de-France,,9772,9772
Saint-Loubès,44.9172,-0.4281,France,FR,Nouvelle-Aquitaine,,9770,9770
Bondoufle,48.6133,2.3806,France,FR,Île-de-France,,9765,9765
Saint-Grégoire,48.1511,-1.6861,France,FR,Bretagne,,9765,9765
Biot,43.6286,7.0956,France,FR,Provence-Alpes-Côte d’Azur,,9746,9746
Igny,48.7422,2.2261,France,FR,Île-de-France,,9744,9744
Cosne sur Loire,47.4103,2.9250,France,FR,Bourgogne-Franche-Comté,minor,9741,9741
Maxéville,48.7114,6.1631,France,FR,Grand Est,,9740,9740
Fosses,49.0981,2.5067,France,FR,Île-de-France,,9737,9737
Lescar,43.3250,-0.4161,France,FR,Nouvelle-Aquitaine,,9735,9735
Ézanville,49.0278,2.3608,France,FR,Île-de-France,,9719,9719
Grand-Couronne,49.3575,1.0072,France,FR,Normandie,,9716,9716
Dombasle-sur-Meurthe,48.6250,6.3497,France,FR,Grand Est,,9694,9694
Aizenay,46.7400,-1.6083,France,FR,Pays de la Loire,,9694,9694
Grigny,45.6083,4.7897,France,FR,Auvergne-Rhône-Alpes,,9675,9675
Fouesnant,47.8933,-4.0122,France,FR,Bretagne,,9668,9668
Pfastatt,47.7689,7.3017,France,FR,Grand Est,,9656,9656
Sallaumines,50.4197,2.8622,France,FR,Hauts-de-France,,9654,9654
Arques,50.7356,2.3025,France,FR,Hauts-de-France,,9654,9654
Escaudain,50.3344,3.3428,France,FR,Hauts-de-France,,9645,9645
Carmaux,44.0492,2.1581,France,FR,Occitanie,,9641,9641
Saint-Pierre-du-Mont,43.8825,-0.5194,France,FR,Nouvelle-Aquitaine,,9625,9625
Neuville-lès-Dieppe,49.9267,1.1014,France,FR,Normandie,,9616,9616
Nogent-le-Rotrou,48.3217,0.8217,France,FR,Centre-Val de Loire,minor,9610,9610
Revel,43.4586,2.0042,France,FR,Occitanie,,9610,9610
Gignac-la-Nerthe,43.3932,5.2356,France,FR,Provence-Alpes-Côte d’Azur,,9606,9606
Croissy-sur-Seine,48.8778,2.1422,France,FR,Île-de-France,,9602,9602
Loudéac,48.1778,-2.7533,France,FR,Bretagne,,9600,9600
Merville,50.6439,2.6403,France,FR,Hauts-de-France,,9598,9598
La Ferté-sous-Jouarre,48.9492,3.1294,France,FR,Île-de-France,,9586,9586
Condé-sur-l’Escaut,50.4492,3.5906,France,FR,Hauts-de-France,,9586,9586
Bures-sur-Yvette,48.6967,2.1614,France,FR,Île-de-France,,9577,9577
Luçon,46.4547,-1.1658,France,FR,Pays de la Loire,,9576,9576
Beaumont-sur-Oise,49.1425,2.2864,France,FR,Île-de-France,,9555,9555
Carqueiranne,43.0950,6.0736,France,FR,Provence-Alpes-Côte d’Azur,,9555,9555
Ussel,45.5481,2.3092,France,FR,Nouvelle-Aquitaine,minor,9555,9555
Soyaux,45.6403,0.1978,France,FR,Nouvelle-Aquitaine,,9553,9553
Saint-Doulchard,47.0997,2.3728,France,FR,Centre-Val de Loire,,9549,9549
Saint-Amand-Montrond,46.7228,2.5050,France,FR,Centre-Val de Loire,minor,9531,9531
Saint-Lys,43.5142,1.1775,France,FR,Occitanie,,9488,9488
Joigny,47.9822,3.3972,France,FR,Bourgogne-Franche-Comté,,9479,9479
Treillières,47.3308,-1.6267,France,FR,Pays de la Loire,,9459,9459
Foix,42.9653,1.6069,France,FR,Occitanie,minor,9452,9452
Le Passage,44.2014,0.6033,France,FR,Nouvelle-Aquitaine,,9447,9447
Valréas,44.3842,4.9903,France,FR,Provence-Alpes-Côte d’Azur,,9426,9426
Leers,50.6817,3.2439,France,FR,Hauts-de-France,,9400,9400
